player_id,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
5931,7,0,0,30,9,7,33,19,38,0,0,0,120,52,29,64.2
5932,7,1,0,31,4,0,0,41,28,0,0,0,106,41,26,61.2
5933,3,0,0,19,4,0,0,26,18,0,1,0,112,73,37,66.4
5934,7,0,0,17,44,1,61,6,9,0,0,0,125,1,8,11.1
5935,0,0,0,13,5,1,21,12,22,0,0,0,121,29,29,50.0
5936,5,1,1,24,15,12,2,3,9,0,0,0,34,45,49,47.9
5937,3,0,0,20,8,0,6,17,22,0,0,0,84,8,12,40.0
5938,2,0,0,18,9,0,5,11,24,0,1,0,73,10,20,33.3
5939,0,0,0,12,14,2,68,7,8,1,0,0,69,7,20,25.9
5940,7,0,0,35,11,4,10,1,5,0,1,0,39,36,48,42.9
5941,0,0,0,8,8,0,7,13,10,0,0,0,90,6,11,35.3
5942,0,0,0,6,7,8,13,0,1,0,0,0,18,17,44,27.9
5943,5,0,0,12,2,0,2,13,10,0,0,0,38,15,16,48.4
5944,2,0,0,9,7,0,5,7,9,0,0,0,49,22,10,68.8
5945,0,0,0,8,15,0,4,1,4,0,0,0,36,2,3,40.0
5946,0,0,0,6,9,2,15,3,3,0,0,0,21,5,1,83.3
5947,1,0,0,8,7,2,1,1,3,1,0,0,2,4,11,26.7
5948,3,0,0,5,5,0,7,0,3,0,0,0,21,0,5,0.0
5949,0,0,0,2,0,0,10,1,1,0,0,0,7,0,2,0.0
5950,1,0,0,1,0,0,2,1,4,0,0,0,8,0,0,0.0
5951,0,0,0,3,1,1,0,0,1,0,0,0,7,4,10,28.6
5952,0,0,0,1,1,0,1,0,0,0,0,0,5,1,1,50.0
5953,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
5954,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,100.0
5955,2,0,0,6,7,9,2,1,4,0,0,0,30,11,8,57.9
5956,4,0,0,18,31,12,5,3,4,0,0,0,34,11,25,30.6
5957,1,0,0,3,0,1,2,1,1,0,0,0,2,1,4,20.0
5958,3,0,0,23,6,0,65,14,21,0,0,0,93,13,10,56.5
5959,3,0,0,16,9,3,0,20,20,0,0,0,85,36,19,65.5
5960,1,0,0,4,4,1,19,6,16,0,0,0,26,13,18,41.9
5961,1,0,0,7,6,5,47,4,3,0,0,0,40,10,14,41.7
5962,2,0,0,13,8,1,32,5,9,0,0,0,51,3,15,16.7
5963,0,0,0,5,1,0,99,13,8,0,1,0,50,6,5,54.5
5964,1,0,0,11,4,1,19,5,6,0,0,0,36,18,14,56.3
5965,5,0,0,30,17,3,137,27,19,0,1,0,138,10,18,35.7
5966,1,0,0,9,7,0,35,12,18,0,0,0,56,11,13,45.8
5967,0,0,0,0,0,0,1,4,2,0,0,0,8,2,1,66.7
5968,1,0,0,3,2,0,3,1,2,0,0,0,3,1,1,50.0
5969,3,0,0,10,6,3,13,6,5,0,0,0,16,6,9,40.0
5970,1,0,0,21,6,6,13,4,7,0,0,0,20,12,19,38.7
5971,5,0,0,18,19,0,7,31,16,0,0,0,135,36,52,40.9
5972,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0.0
5973,0,0,0,44,12,0,5,27,31,0,2,0,148,19,28,40.4
5974,8,0,0,31,25,0,1,42,43,0,0,2,166,69,64,51.9
5975,6,0,0,23,21,10,23,9,19,0,0,0,69,3,13,18.8
5976,8,0,0,18,33,16,30,11,13,0,0,0,73,18,25,41.9
5977,1,0,0,31,4,1,46,13,19,0,0,0,86,9,12,42.9
5978,6,1,0,43,45,11,143,20,42,1,0,0,149,48,38,55.8
5979,0,0,0,8,15,2,40,9,20,0,0,0,60,8,22,26.7
5980,9,0,0,35,50,2,204,35,55,0,1,0,208,36,43,45.6
5981,2,0,0,15,3,3,0,2,3,0,0,0,13,9,31,22.5
5982,4,0,0,7,7,0,3,7,6,0,0,0,25,16,8,66.7
5983,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0.0
5984,4,1,0,16,3,0,5,20,16,0,0,0,79,24,23,51.1
5985,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,100.0
5986,1,0,0,4,1,0,5,1,13,0,0,0,10,3,4,42.9
5987,3,0,0,11,14,4,36,5,11,0,0,0,46,5,15,25.0
5988,9,0,0,43,39,0,50,9,7,1,0,0,104,9,17,34.6
5989,5,0,0,39,28,23,62,9,16,0,0,0,92,26,18,59.1
5990,1,0,0,7,8,0,0,1,4,0,0,0,14,5,6,45.5
5991,3,0,0,10,5,0,1,17,11,0,1,0,38,13,12,52.0
5992,0,0,0,0,3,0,0,5,3,0,0,0,14,1,4,20.0
5993,3,0,0,14,10,1,13,11,11,0,0,0,28,2,6,25.0
5994,2,0,0,14,6,9,4,3,5,0,0,0,31,15,26,36.6
5995,2,0,0,7,10,1,38,12,15,0,1,0,52,11,12,47.8
5996,0,0,0,1,1,0,7,0,1,0,0,0,1,0,1,0.0
5997,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
5998,10,0,0,25,37,2,92,34,34,0,0,0,173,46,45,50.5
5999,1,0,0,6,7,1,18,9,9,0,1,0,37,9,9,50.0
6000,5,0,0,31,31,1,46,32,36,0,0,0,143,14,21,40.0
6001,6,0,0,41,31,0,5,35,59,0,0,0,150,42,42,50.0
6002,0,0,0,1,1,1,1,0,0,0,0,0,1,3,3,50.0
6003,4,0,0,18,28,0,10,12,8,0,0,0,48,6,9,40.0
6004,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0.0
6005,2,0,0,12,11,4,100,10,16,0,0,0,70,6,19,24.0
6006,5,0,0,35,15,1,4,32,24,0,1,0,210,96,55,63.6
6007,1,0,0,18,26,8,8,7,6,0,0,0,50,69,54,56.1
6008,8,0,0,24,17,1,13,35,34,0,1,0,134,66,28,70.2
6009,0,0,0,1,2,1,0,0,0,0,0,0,2,2,4,33.3
6010,4,0,0,32,25,5,24,15,11,0,0,0,64,62,58,51.7
6011,6,0,0,34,63,2,53,21,29,1,0,0,138,18,16,52.9
6012,2,0,0,0,7,0,0,0,0,0,0,0,59,9,0,100.0
6013,6,1,1,44,11,7,3,5,7,2,0,0,43,71,83,46.1
6014,0,0,0,5,7,2,6,2,2,0,0,0,21,5,7,41.7
6015,6,0,0,28,21,0,3,51,39,0,2,0,237,71,49,59.2
6016,3,0,0,33,49,1,42,22,33,0,0,0,152,14,21,40.0
6017,2,0,0,18,8,1,1,15,11,0,0,0,76,31,27,53.4
6018,5,0,0,12,7,1,85,29,21,0,0,0,96,30,15,66.7
6019,2,0,0,11,22,4,37,6,8,0,0,0,28,8,19,29.6
6020,1,0,0,1,1,0,0,5,0,0,0,0,9,1,2,33.3
6021,9,0,0,39,21,0,25,46,17,0,0,0,128,51,27,65.4
6022,4,0,0,30,39,0,164,18,36,1,0,0,159,19,29,39.6
6023,7,1,0,58,23,2,67,37,43,1,0,0,184,21,50,29.6
6024,2,0,0,14,16,0,17,20,18,0,0,0,73,24,19,55.8
6025,1,0,0,9,4,0,24,8,5,0,0,0,21,3,3,50.0
6026,0,0,0,10,16,1,20,2,3,0,0,0,25,16,22,42.1
6027,10,0,0,42,22,0,22,34,43,0,0,0,178,27,31,46.6
6028,5,0,0,33,27,2,54,24,33,0,1,0,158,18,29,38.3
6029,1,0,0,6,2,0,1,1,5,0,0,0,31,2,2,50.0
6030,6,1,1,36,9,0,2,16,43,0,1,0,153,23,28,45.1
6031,2,0,0,6,0,1,17,2,3,0,0,0,17,0,2,0.0
6032,1,1,0,17,8,1,0,14,7,0,0,0,31,47,19,71.2
6033,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
6034,5,0,0,50,37,2,11,44,58,0,0,0,205,10,17,37.0
6035,2,0,0,13,17,1,6,2,13,0,0,0,35,3,21,12.5
6036,0,0,0,0,1,0,5,0,0,0,0,0,2,0,1,0.0
6037,2,0,0,51,37,2,4,18,26,0,0,0,145,27,39,40.9
6038,2,0,0,10,11,0,0,11,19,0,0,1,89,42,10,80.8
6039,4,0,0,24,15,0,57,19,20,0,0,0,87,13,23,36.1
6040,2,0,0,20,8,1,4,72,33,0,0,0,218,69,47,59.5
6041,5,1,0,27,19,5,97,18,16,0,0,0,102,16,16,50.0
6042,0,0,0,18,13,0,1,11,16,0,0,0,70,10,11,47.6
6043,8,0,0,45,22,0,5,28,31,0,0,0,129,45,32,58.4
6044,3,0,0,12,4,1,0,4,2,0,0,0,20,0,2,0.0
6045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
6046,2,0,0,3,8,0,4,6,9,0,0,0,18,9,7,56.3
6047,0,0,0,9,0,1,29,14,18,0,0,0,57,5,6,45.5
6048,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50.0
6049,3,0,0,7,10,0,28,12,8,0,0,0,44,15,8,65.2
6050,8,0,0,28,27,0,24,41,41,0,1,1,131,63,43,59.4
6051,1,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0
6052,1,0,0,6,1,1,3,0,2,0,0,0,11,1,4,20.0
6053,0,0,0,3,4,3,19,4,0,1,0,0,21,6,3,66.7
6054,7,0,0,47,59,1,110,54,49,0,0,0,232,68,89,43.3
6055,5,0,0,25,35,0,12,22,24,0,1,0,175,32,48,40.0
6056,1,0,0,5,3,3,0,1,2,0,0,0,13,10,10,50.0
6057,3,0,0,8,6,0,1,0,1,0,0,0,12,8,14,36.4
6058,1,2,0,12,11,2,48,4,16,0,0,0,63,4,9,30.8
6059,0,0,0,12,14,1,19,12,12,0,0,0,76,9,15,37.5
6060,6,0,0,31,31,1,147,25,54,1,0,0,164,18,21,46.2
6061,2,0,0,7,30,9,9,4,7,0,0,0,66,27,44,38.0
6062,1,0,0,1,0,0,0,3,1,0,0,0,21,3,4,42.9
6063,6,0,0,41,53,9,90,20,29,0,0,0,123,7,12,36.8
6064,0,0,0,1,0,0,0,3,1,0,0,0,2,3,3,50.0
6065,0,0,0,2,4,1,8,1,3,0,0,0,5,3,6,33.3
6066,2,0,0,7,2,1,15,3,9,0,0,1,23,3,9,25.0
6067,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
6068,5,0,0,26,11,4,47,22,8,0,0,0,151,7,8,46.7
6069,2,1,0,16,16,4,14,4,7,0,0,0,31,12,24,33.3
