Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
16.0,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,31.0,1991.0,37.0,54.0,7.0,1.0,11.0,2.0,54.9,0.26,2.9,0.08,198.0,477.0,41.5,806.0,163.0,38.2,35.5,289.0,58.5,43.9,520.0,30.0,5.8,25.0,0.68,11.6
17.0,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,27.0,1995.0,5.5,6.0,0.0,0.0,1.0,2.0,3.9,0.2,-0.1,-0.02,11.0,47.0,23.4,165.0,31.0,20.6,27.4,41.0,31.7,32.1,73.0,3.0,4.1,7.0,1.27,17.9
18.0,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31.0,1991.0,26.0,29.0,6.0,0.0,2.0,0.0,26.9,0.27,-2.1,-0.08,59.0,189.0,31.2,985.0,126.0,14.9,25.3,156.0,26.9,30.0,288.0,20.0,6.9,39.0,1.5,17.0
19.0,Joaquín Blázquez,ar ARG,GK,Brest,fr Ligue 1,21.0,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.2,0.17,8.0,13.0,61.5,18.0,3.0,61.1,45.7,11.0,18.2,26.3,11.0,2.0,18.2,0.0,0.0,3.5
20.0,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,31.0,1991.0,23.9,41.0,2.0,1.0,3.0,2.0,37.3,0.34,-1.7,-0.07,115.0,303.0,38.0,785.0,92.0,27.9,30.9,162.0,51.9,42.1,308.0,20.0,6.5,39.0,1.63,17.4
21.0,Claudio Bravo,cl CHI,GK,Betis,es La Liga,39.0,1983.0,12.0,9.0,1.0,0.0,1.0,0.0,11.0,0.24,2.0,0.17,75.0,225.0,33.3,288.0,42.0,51.7,39.6,101.0,75.2,52.5,213.0,4.0,1.9,6.0,0.5,12.1
22.0,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,27.0,1995.0,15.0,23.0,5.0,0.0,3.0,1.0,20.1,0.26,-1.9,-0.13,55.0,129.0,42.6,503.0,86.0,20.3,27.6,91.0,29.7,33.5,203.0,12.0,5.9,15.0,1.0,15.2
23.0,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,22.0,1999.0,2.0,2.0,0.0,0.0,0.0,0.0,3.1,0.52,1.1,0.56,8.0,20.0,40.0,49.0,11.0,20.4,28.1,18.0,55.6,44.2,26.0,2.0,7.7,3.0,1.5,13.8
24.0,Juan Carlos,es ESP,GK,Girona,es La Liga,34.0,1988.0,10.0,18.0,2.0,2.0,1.0,0.0,16.7,0.35,-1.3,-0.13,23.0,64.0,35.9,278.0,51.0,17.6,28.7,62.0,24.2,30.3,120.0,6.0,5.0,21.0,2.1,16.9
25.0,Marco Carnesecchi,it ITA,GK,Cremonese,it Serie A,22.0,2000.0,27.0,47.0,2.0,3.0,7.0,1.0,44.2,0.28,-1.8,-0.07,157.0,523.0,30.0,745.0,135.0,52.2,41.4,203.0,66.0,53.1,402.0,29.0,7.2,29.0,1.07,14.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,23.0,1999.0,1.5,3.0,0.0,0.0,0.0,0.0,1.9,0.24,-1.1,-0.7,14.0,43.0,32.6,38.0,4.0,78.9,49.4,14.0,92.9,61.4,38.0,2.0,5.3,0.0,0.0,8.3
